mutation_id,type,file,line,result,time_ms
1,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,341,SURVIVED,21867
2,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,542,BUILD_FAILURE,4332
3,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,657,BUILD_FAILURE,4477
4,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,843,BUILD_FAILURE,4150
5,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,944,BUILD_FAILURE,4334
6,ARITH_ADD,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,1523,BUILD_FAILURE,4201
7,ARITH_SUB,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,339,SURVIVED,21816
8,ARITH_MUL,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,697,BUILD_FAILURE,4181
9,ARITH_MUL,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,1518,BUILD_FAILURE,901
10,ARITH_MUL,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,1848,BUILD_FAILURE,4066
11,ARITH_MUL,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,1934,BUILD_FAILURE,4389
12,CMP_LT,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,578,KILLED,12745
13,CMP_LT,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,690,SURVIVED,21710
14,CMP_LT,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,1905,KILLED,21725
15,CMP_NEQ,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,909,SURVIVED,23907
16,CMP_NEQ,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,910,SURVIVED,21810
17,CMP_NEQ,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,911,SURVIVED,24527
18,CMP_NEQ,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,962,KILLED,13127
19,LOGIC_AND,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,909,KILLED,24218
20,LOGIC_AND,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,910,KILLED,23173
21,LOGIC_AND,/Users/paulbiggar/projects/ralph2/src/DarkCompiler/passes/1_Parser.fs,911,KILLED,21917
